Band,Time_Range,ETH_Amount (ETH),Band_Value (10K USD),Open_Price (USD),Close_Price (USD),PnL (10K USD)
12 Band,2024-09-29 - 2024-09-29,6229.528478032596,1657.1571136395,2654.89241187002,2671.239286888016,386.12822714378086
14 Band,2024-11-05 - 2024-11-05,1125.4233925453489,273.46689637890006,2430.686710990476,2425.9731360848696,-95.671976373913
15 Band,2024-11-08 - 2024-11-08,12222.545897105656,3569.9264115443007,2906.941447223925,3033.0121771737745,439.0686426839672
17 Band,2024-11-12 - 2024-11-18,23421.758384915356,7600.469725446101,3340.128134208141,3179.9999999998763,-134.07858019232563
18 Band,2024-11-19 - 2024-11-19,11483.60692519161,3581.5065373372995,3119.9999999767374,3108.339000382059,185.11653410451407
19 Band,2024-12-02 - 2024-12-03,21650.815112421085,7822.81318119984,3684.129022931326,3595.000000000001,-190.02967301802659
20 Band,2024-12-09 - 2024-12-09,12525.062111468013,4839.817916588174,3969.999999999999,3809.9999999952865,-731.5975440496078
23 Band,2025-01-01 - 2025-01-01,51934.39397297465,17392.811371849497,3361.9999999998304,3360.646145564609,160.45562764717207
24 Band,2025-01-02 - 2025-01-07,138391.92526404004,47846.1283831074,3391.4419189349996,3424.9999999761567,966.559009113588
25 Band,2025-01-09 - 2025-01-16,124919.01076734769,40160.7995914209,3243.466013551681,3279.9999999816832,210.5261454636265
Unassigned Band,2024-10-31 - 2024-12-31,347547.3928746676,117028.70214003739,2575.9050679716256,3349.3628749831796,2149.2604248639745
