address,from_count,to_count,total_value_count,is_in_top_accounts,name_tag
0x0000000000000000000000000000000000000000,367,11,378,False,Null: 0x000...000
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,112,112,224,False,MEV Bot: 0x000...e49
0x00000688768803bbd44095770895ad27ad6b0d95,36,42,78,False,Address
0x018008bfb33d285247a21d44e50697654f754e63,0,1,1,False,Aave: Ethereum DAI V3
0x0b8a49d816cc709b6eadb09498030ae3416b66dc,23,0,23,False,Address
0x111111125421ca6dc452d289314280a0f8842a65,7,0,7,False,Aggregation Router V6
0x1f2f10d1c40777ae1da742455c65828ff36df387,1,0,1,False,jaredfromsubway: MEV Bot 2
0x23878914efe38d27c4d67ab83ed1b93a74d4086a,4,18,22,False,Aave: Ethereum USDT
0x2c89a2ee92b9870f55989b4132a58c0e85222d86,617,926,1543,False,Address
0x324cce7c45a7fa2f15f8739683e3342f8bb03427,1,1,2,False,Address
0x3451b6b219478037a1ac572706627fc2bda1e812,3,47,50,False,Address
0x3face000cb537ad065b90ef47f23d62b48b2264c,65,68,133,False,Address
0x4585fe77225b41b697c938b018e2ac67ac5a20c0,0,1,1,False,Uniswap V3: WBTC 2
0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,0,7,7,False,Aave:  Ethereum WETH V3
0x50faef287cebc127033565002d9deea46346bbfe,0,1,1,False,Address
0x5141b82f5ffda4c6fe1e372978f1c5427640a190,0,11,11,False,Address
0x5968ada261a84e19a6c85830e655647752585ed4,2,2,4,False,MEV Bot: 0x596...ed4
0x5b93d80da1a359340d1f339fb574bdc56763f995,9,0,9,False,Address
0x5d6124906a2691df410a548f353a619b6c4f6960,0,2,2,False,Address
0x60e1a5714ab98f4ba55811c45899fb425433bb65,4,4,8,False,Address
0x64545160d28fd0e309277c02d6d73b3923cc4bfa,22,27,49,False,MEV Bot: 0x645...bfa
0x6482e8fb42130b3cce53096bb035ebe79435e2d4,0,8,8,False,Address
0x6aa7a8539543210563af6cf575cc5079b194d0c8,1,41,42,False,Address
0x6c2a355929ee1262305e385ad49b84fe5f5a4777,1,0,1,False,Address
0x7e4925e8bfd6c8843339843574a07f77ec8e9a16,2,0,2,False,Address
0x81463b0f960f247f704377661ec81c1fd65b5128,36,36,72,False,Address
0x8d30500235e247ee3d3ac6dce43c12ebb9656644,1,1,2,False,Address
0x97f0fa1e5bf44f0dbd8dc5ee5e0d017667ae0c34,5,6,11,False,Address
0x9d6b911199b891c55a93e4bc635bf59e33d002d8,16,16,32,False,Address
0xa0dd866f0a0fef44ecc63b71bc906cb2c020288b,0,1,1,False,Address
0xa8c1c98aaf99a5dfc907d61b892b2ad624901185,5,5,10,False,Address
0xa9048585166f4f7c4589ade19567bb538035ed36,62,32,94,False,Address
0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,41,8,49,False,Address
0xb4a1271285cb279e6abbae89eb9b4e08eb0b047e,0,1,1,False,Address
0xbadc0ffee00baa564f3fea62e9d37843284c1e6a,2,2,4,False,Address
0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0,3,3,False,Uniswap V3: USDT 9
0xd0b9edc6b226362e08554312c3dd328cac5c6f79,4,0,4,False,Address
0xd5e74de4385ef0eb1bb4db05a6a504f04d92e79d,51,51,102,False,MEV Bot: 0xd53...79d
0xe08d97e151473a848c3d9ca3f323cb720472d015,15,15,30,False,Address
0xe37e799d5077682fa0a244d46e5649f71457bd09,0,7,7,False,Address
0xe6b1de575e7e610889ea21024834e120f92033a3,22,22,44,False,Address
0xea8cf32e4ac03acab2babb9028bac5c853e0ce80,1,0,1,False,Address
0xf117162859eaacc6345c5589db817a0dd4f0b133,5,5,10,False,Address
0xf313b370d28760b98a2e935e56be92feb2c4ec04,0,2,2,False,Address
