date,fee
2024-07-09,1420135
2024-07-10,1506276
2024-07-11,1488774
2024-07-12,1504899
2024-07-13,1165935
2024-07-14,1203211
2024-07-15,1664304
2024-07-16,1578021
2024-07-17,1505907
2024-07-18,1475898
2024-07-19,1521085
2024-07-20,1183503
2024-07-21,1091324
2024-07-22,1515776
2024-07-23,1383053
2024-07-24,1331308
2024-07-25,1386406
2024-07-26,1310079
2024-07-27,1039557
2024-07-28,941083
2024-07-29,1480959
2024-07-30,1421045
2024-07-31,1521463
2024-08-01,1519134
2024-08-02,1372845
2024-08-03,1044872
2024-08-04,980096
2024-08-05,1972255
2024-08-06,1384328
2024-08-07,1329942
2024-08-08,1319714
2024-08-09,1319768
2024-08-10,964732
2024-08-11,886505
2024-08-12,1343997
2024-08-13,1432689
2024-08-14,1351507
2024-08-15,1426266
2024-08-16,1687993
2024-08-17,1495224
2024-08-18,1244766
2024-08-19,2635709
2024-08-20,4967706
2024-08-21,6830705
2024-08-22,4017612
2024-08-23,3734498
2024-08-24,3280473
2024-08-25,3356757
2024-08-26,4266958
2024-08-27,3852342
2024-08-28,3406764
2024-08-29,3309118
2024-08-30,2905103
2024-08-31,2216126
2024-09-01,2164698
2024-09-02,2411336
2024-09-03,2325600
2024-09-04,1980796
2024-09-05,1910237
2024-09-06,2027763
2024-09-07,1602179
2024-09-08,1353093
2024-09-09,1971783
2024-09-10,1911577
2024-09-11,1734501
2024-09-12,1740486
2024-09-13,1603165
2024-09-14,1301631
2024-09-15,1261625
2024-09-16,1651114
2024-09-17,1585436
2024-09-18,1674883
2024-09-19,1511962
2024-09-20,2056491
2024-09-21,1442110
2024-09-22,1346150
2024-09-23,2072466
2024-09-24,2020596
2024-09-25,1821550
2024-09-26,2187287
2024-09-27,1877426
2024-09-28,1393372
2024-09-29,1362009
2024-09-30,2137149
2024-10-01,2082235
2024-10-02,1899436
2024-10-03,1688805
2024-10-04,1703939
2024-10-05,1272895
2024-10-06,1165921
2024-10-07,1786257
2024-10-08,1929659
2024-10-09,1764554
2024-10-10,1783077
2024-10-11,1683875
2024-10-12,1283178
2024-10-13,1146299
2024-10-14,1932780
2024-10-15,1986502
2024-10-16,1866423
2024-10-17,1673178
2024-10-18,1641020
2024-10-19,1271573
2024-10-20,1221352
2024-10-21,1726086
2024-10-22,1711253
2024-10-23,1695326
2024-10-24,1853491
2024-10-25,1750794
2024-10-26,1384083
2024-10-27,1162514
2024-10-28,1750810
2024-10-29,1846807
2024-10-30,1754020
2024-10-31,1831899
2024-11-01,1858608
2024-11-02,1356340
2024-11-03,1225167
2024-11-04,1775661
2024-11-05,1826155
2024-11-06,1989125
2024-11-07,1796863
2024-11-08,1782410
2024-11-09,1327861
2024-11-10,1464404
2024-11-11,2201929
2024-11-12,2554869
2024-11-13,2249252
2024-11-14,2141804
2024-11-15,2333824
2024-11-16,1765936
2024-11-17,1516485
2024-11-18,2345203
2024-11-19,2275087
2024-11-20,2195596
2024-11-21,2257859
2024-11-22,2248978
2024-11-23,1899433
2024-11-24,1678890
2024-11-25,2382026
2024-11-26,2305812
2024-11-27,2228629
2024-11-28,2093241
2024-11-29,2390544
2024-11-30,1905756
2024-12-01,1785073
2024-12-02,2967101
2024-12-03,6035148
2024-12-04,4430538
2024-12-05,4428706
